MA,AA,Re,CL,CM,CD
0.799855,-2.91668,29908100,-0.16697,-0.038831,0.0134326
0.799897,-1.84465,19759300,-0.0474672,-0.0397245,0.0119315
0.799919,-2.89318,19756000,-0.165746,-0.0353744,0.0140424
0.799934,0.135715,19758500,0.172356,-0.0517377,0.0130346
0.800005,4.38902,29977800,0.662478,-0.0653579,0.0328131
0.800011,3.90247,19753400,0.599477,-0.0580959,0.0281405
0.800018,5.16272,4988980,0.738455,-0.0502218,0.0459869
0.800043,0.143099,29847900,0.174613,-0.0557441,0.0125474
0.800072,4.41132,19772100,0.663621,-0.0613765,0.0333176
0.800127,3.15798,4989470,0.502737,-0.0489763,0.0243623
0.800134,4.3917,19766400,0.662269,-0.060688,0.0329641
0.800153,1.16261,19754100,0.28461,-0.0559006,0.0151108
0.800167,2.14245,19760700,0.392919,-0.0572976,0.0179432
0.800177,2.67128,4986570,0.445484,-0.0488128,0.0217763
0.80019,3.397,19765300,0.535818,-0.0581661,0.0244648
0.800203,-0.860864,29901500,0.064575,-0.050542,0.0114713
0.800237,2.14145,29895000,0.39531,-0.0623978,0.0177565
0.80025,4.66014,19767900,0.694585,-0.0619203,0.0361903
0.800264,1.16089,4982210,0.276958,-0.0453837,0.0167222
0.800277,-0.826695,19745700,0.0655181,-0.0459283,0.0119243
0.800287,4.1759,4991330,0.632279,-0.05336,0.0325346
0.8003,1.65036,19762300,0.337727,-0.0565812,0.0162917
0.800301,-0.833967,4987710,0.0548919,-0.033026,0.0141647
0.800363,2.14266,19768900,0.392712,-0.0582142,0.0181253
0.800376,-2.9151,19769300,-0.167528,-0.0344252,0.0139217
0.800392,1.64597,19767500,0.338013,-0.057377,0.0164325
0.800499,4.6467,4990400,0.696386,-0.0574658,0.0381578
0.800501,4.65587,19788500,0.693108,-0.0629198,0.0363945
0.800505,3.16519,19754200,0.508203,-0.0572043,0.0228438
0.800512,1.66647,4981890,0.333243,-0.0473379,0.0180659
0.80052,9.1924,4992840,0.833052,-0.0110405,0.131559
0.800679,3.40196,29909000,0.540323,-0.062584,0.0241715
0.800693,0.164018,19762300,0.17406,-0.0510027,0.0129762
0.800711,-1.88666,29950500,-0.0509615,-0.0443005,0.0115671
0.800834,6.11088,4990770,0.782947,-0.0288509,0.0632455
0.800864,3.16531,19764200,0.508407,-0.058231,0.0230178
0.800932,2.91511,4989880,0.473531,-0.0488426,0.0230219
0.800954,3.90619,4993400,0.599762,-0.0518467,0.0299479
0.801163,5.16969,19802800,0.742123,-0.0584124,0.0438253
0.801192,8.13406,4995700,0.815805,-0.00942841,0.106134
0.801572,3.42776,4994140,0.536414,-0.0495894,0.0261838
0.803063,4.16875,29996400,0.639289,-0.0653745,0.0308089
0.82906,11.1553,4992520,0.860215,0.0174644,0.183578
0.829252,10.1642,4995130,0.842675,-0.00520604,0.158712
0.829277,-1.80146,4997010,-0.0658814,-0.0215208,0.0148289
0.829286,8.44655,4996100,0.815824,-0.0134955,0.118141
0.829292,9.10359,4996100,0.819504,-0.0103378,0.133582
0.829491,8.63866,4997650,0.81715,-0.0103148,0.122658
0.829717,7.08163,4997840,0.800818,-0.0185827,0.0893739
0.829754,3.41023,4996550,0.569426,-0.0604562,0.0282442
0.829884,9.75406,4998030,0.832917,-0.00987177,0.148719
0.829906,4.14565,4997640,0.658388,-0.0665916,0.0371037
0.829907,5.6114,4997680,0.73484,-0.0286554,0.0621733
0.829909,2.41875,5000640,0.432932,-0.0513068,0.0214329
0.829954,2.66784,4999720,0.466268,-0.0524842,0.0227386
0.83001,-2.83205,4999000,-0.190086,-0.0127061,0.0181343
0.830045,1.93911,5001760,0.372201,-0.0496417,0.0193913
0.83005,2.18086,5000430,0.403313,-0.0503854,0.020357
0.830166,-0.798589,5002310,0.0538689,-0.0311222,0.0142476
0.830275,2.91689,4998790,0.500083,-0.054355,0.0243024
0.830279,6.09941,5000410,0.757783,-0.0260361,0.0704935
0.830311,4.64986,4997540,0.687053,-0.0496046,0.0456591
0.83034,5.13837,4996880,0.711256,-0.0343498,0.0545235
0.830402,3.90854,4999720,0.636695,-0.0676509,0.0339916
0.830451,0.213857,5003800,0.171342,-0.0397942,0.0150346
0.830467,1.21355,5003090,0.288779,-0.0464911,0.0170716
0.830495,1.68143,5002940,0.342383,-0.0487473,0.0184647
0.830502,6.5915,4999240,0.782501,-0.0188284,0.0801554
0.830529,3.69704,4997540,0.6084,-0.0652689,0.0313775
0.830633,10.6292,4999100,0.848561,0.00726827,0.170572
0.830814,3.15701,5000340,0.533995,-0.0572419,0.0260911
0.848405,4.65343,29857500,0.692765,-0.0588381,0.0508934
0.848496,9.55442,4977710,0.823531,-0.0078942,0.146975
0.84851,1.13423,29933800,0.299537,-0.0655978,0.0150455
0.848683,3.6562,19749200,0.621868,-0.0845517,0.0337477
0.848729,5.13751,29911300,0.717418,-0.0415518,0.0606734
0.848764,0.637121,19728100,0.23604,-0.0570604,0.0141399
0.84892,2.6694,19705300,0.496928,-0.0727589,0.0226527
0.848939,3.39522,29872800,0.602229,-0.0922245,0.0302476
0.849021,5.13459,29952600,0.717441,-0.041205,0.0606791
0.849025,4.40334,19764300,0.668441,-0.0588265,0.0461001
0.84907,4.90401,29950300,0.704938,-0.0492089,0.0559753
0.849125,6.62828,4984030,0.762869,-0.0177361,0.0852757
0.849152,-1.79069,4989610,-0.075555,-0.016974,0.0156166
0.849232,2.65035,19684700,0.497791,-0.0740523,0.0227225
0.849258,4.88818,29867200,0.704031,-0.0499681,0.0559921
0.84927,4.88388,19797000,0.694366,-0.0423431,0.0556824
0.849292,2.66652,19732100,0.497828,-0.072844,0.02266
0.849295,2.66121,4987120,0.48673,-0.0608623,0.0240962
0.849313,2.15545,19689200,0.42547,-0.0668371,0.0194645
0.849329,3.4048,29907800,0.603381,-0.0926623,0.0304903
0.849353,4.64594,4983460,0.672038,-0.0408425,0.0521897
0.849375,0.633425,29931500,0.238809,-0.0622239,0.0136753
0.849398,4.16688,19764700,0.654199,-0.0673888,0.0419769
0.849428,3.20921,29972000,0.581529,-0.0908049,0.0281314
0.849438,2.90273,4981250,0.521819,-0.065917,0.0261916
0.849457,3.16922,19687800,0.568462,-0.0836465,0.0276986
0.84946,-1.34283,19729500,-0.00516849,-0.0382232,0.0122921
0.849469,5.09977,4986540,0.701183,-0.033202,0.0601858
0.849483,3.6447,19719200,0.620414,-0.0842394,0.0337639
0.849488,3.38426,19686700,0.595858,-0.0861427,0.0303965
0.849506,1.14767,19715600,0.297476,-0.0603239,0.0154844
0.849511,2.13138,29904100,0.428788,-0.0725716,0.0190569
0.849526,2.16278,19763000,0.427463,-0.06604,0.019367
0.849534,9.16846,4980630,0.820943,-0.0149609,0.137294
0.849549,4.20679,4985300,0.643626,-0.0530599,0.0444175
0.849565,4.38757,19790100,0.667435,-0.0606276,0.0461253
0.849594,2.42906,4980370,0.452999,-0.05739,0.0224778
0.849619,4.88605,4985980,0.687132,-0.0360789,0.0565667
0.849666,2.66975,19742300,0.49907,-0.0730124,0.0226866
0.849673,3.92303,4985560,0.626174,-0.0613335,0.0395812
0.849705,3.67205,4982800,0.609597,-0.0674728,0.0356863
0.849744,3.16678,4984080,0.557635,-0.0704505,0.0289688
0.849744,2.6392,29910900,0.499861,-0.0800401,0.0224901
0.849811,-0.35004,19793800,0.116754,-0.0492732,0.012527
0.849816,3.88295,29973700,0.647174,-0.0862522,0.0375933
0.849817,-0.356201,29877100,0.119003,-0.0540936,0.0119451
0.849818,3.12752,29879400,0.568938,-0.0893189,0.027189
0.849819,3.37924,19688200,0.597492,-0.0850111,0.0301872
0.849824,-2.8151,4995590,-0.202898,-0.00263765,0.021356
0.849836,-0.306372,4988350,0.108481,-0.0344431,0.0145457
0.84985,10.1986,4979630,0.829882,0.00544979,0.161881
0.84985,3.40466,29895100,0.603431,-0.0927283,0.0306636
0.849862,3.89397,19745500,0.638377,-0.0766758,0.0376958
0.849871,4.64768,19812100,0.681125,-0.0508772,0.051093
0.849891,-0.854815,29875800,0.0582698,-0.0492808,0.0116854
0.849903,0.147808,19712800,0.176104,-0.0520947,0.0130001
0.849919,3.37673,19729400,0.596398,-0.0863192,0.030373
0.849926,3.92603,4992180,0.626242,-0.061198,0.0396618
0.849965,4.14498,19773500,0.653114,-0.0691287,0.0419544
0.84997,2.42478,19734700,0.465192,-0.0697701,0.0209495
0.849988,-0.331229,19698100,0.118122,-0.0480603,0.0123978
0.850014,4.61612,29968100,0.689948,-0.0596832,0.0508637
0.85004,2.41319,4982350,0.451191,-0.05742,0.0224293
0.850058,3.69864,19717400,0.623137,-0.0822434,0.0346569
0.850088,4.3866,19765300,0.666995,-0.0600694,0.0464721
0.850099,3.65421,4984490,0.607555,-0.0675568,0.0355432
0.850107,-1.3705,29871800,-0.00548144,-0.0436387,0.011978
0.850109,8.06183,4984560,0.806623,-0.0229744,0.113567
0.850112,-0.845888,19798100,0.0566027,-0.0446041,0.0122301
0.850119,-1.3141,4991220,-0.0158023,-0.0227633,0.0147243
0.850125,0.219731,4988520,0.172512,-0.039608,0.015144
0.850138,8.61748,4983540,0.816959,-0.014269,0.126088
0.850143,3.20924,29873900,0.581723,-0.0913376,0.0282459
0.850147,0.670284,4985920,0.229189,-0.0436733,0.0159571
0.850148,-1.9072,29858000,-0.073172,-0.0369048,0.0130687
0.850151,7.15031,4985320,0.782156,-0.0147025,0.0954355
0.850164,3.22716,19704400,0.57909,-0.0855066,0.0286485
0.850168,2.46652,4984320,0.457373,-0.0578592,0.0227583
0.850168,4.67336,19803000,0.681524,-0.0503269,0.0516073
0.850168,3.61601,29848900,0.625495,-0.0911372,0.0337117
0.850173,4.1472,19755100,0.652238,-0.0690877,0.0421037
0.850194,3.64059,29960100,0.62626,-0.091012,0.0339863
0.8502,5.12452,4988540,0.702413,-0.0333127,0.0609088
0.850204,3.17179,19754500,0.570177,-0.083117,0.0277441
0.850204,-1.87868,19832100,-0.0716076,-0.0328312,0.013465
0.850205,0.109345,29931200,0.175812,-0.0582594,0.0126008
0.850215,-0.841323,4990010,0.0444843,-0.0286151,0.0144084
0.850217,4.88662,29970900,0.702977,-0.0500261,0.0560715
0.850224,3.16327,19682100,0.566918,-0.0829271,0.0276073
0.850236,1.1805,19754000,0.30159,-0.0595137,0.0154458
0.850288,4.62564,5005960,0.670526,-0.0409433,0.0520338
0.850292,3.39359,19706400,0.59561,-0.0859956,0.0305637
0.850295,-0.819625,19747300,0.0589745,-0.0436169,0.0120914
0.850295,4.35569,29980500,0.675063,-0.0691352,0.0459862
0.850309,2.20715,4982020,0.422931,-0.0551033,0.0212461
0.850309,3.9008,19763300,0.638331,-0.0764006,0.0377899
0.850318,4.40716,19803400,0.667768,-0.0593489,0.0468739
0.850319,0.142769,19760900,0.176283,-0.0533968,0.0131452
0.850328,1.64513,29950100,0.363788,-0.0689591,0.0168532
0.850329,1.6754,4982760,0.352194,-0.050531,0.018814
0.850331,7.58995,4986000,0.802058,-0.022125,0.104415
0.850336,2.1775,19743000,0.431522,-0.0664773,0.0194136
0.850343,2.67539,4983800,0.489264,-0.0619398,0.0243098
0.850353,1.18831,4984380,0.291217,-0.0473588,0.0172422
0.850356,0.6677,19741900,0.238607,-0.0561249,0.0141148
0.850392,4.67595,4986430,0.671894,-0.0402989,0.0528855
0.850419,3.88986,29836600,0.64591,-0.0860058,0.0378334
0.850422,4.93083,5007130,0.688306,-0.0356877,0.0574168
0.850434,2.16328,19783900,0.429082,-0.066662,0.0194146
0.850451,2.17504,4982780,0.419271,-0.0546685,0.0210568
0.850486,4.63145,19783500,0.679835,-0.0510668,0.051176
0.850492,5.14772,19802400,0.706914,-0.034398,0.0610491
0.850493,3.2561,19713200,0.580451,-0.0857419,0.0289597
0.850526,3.88164,29953000,0.645325,-0.0862373,0.0377419
0.850548,1.67921,19765600,0.363044,-0.0624523,0.0171536
0.850574,3.14727,19752300,0.566738,-0.0830569,0.0275149
0.850576,2.40698,19738400,0.464832,-0.0698112,0.0209281
0.850601,5.5925,4990050,0.723458,-0.0298124,0.0679954
0.850611,4.1394,5001850,0.640567,-0.0537025,0.0436551
0.850619,-1.86616,19755100,-0.0707872,-0.0315744,0.0133219
0.850635,2.93494,4986320,0.527255,-0.0671691,0.0266613
0.850643,2.89008,4989180,0.521095,-0.0660872,0.0261842
0.850672,5.13893,19807400,0.7067,-0.0347264,0.0609816
0.850715,1.65373,19726200,0.361429,-0.0635478,0.0172824
0.850725,2.2479,4985690,0.42805,-0.0556219,0.0214897
0.850759,3.89625,4984170,0.623537,-0.0615987,0.0394364
0.850759,2.9177,19756500,0.536524,-0.0790089,0.0251397
0.850783,5.13069,19832800,0.706819,-0.0345948,0.0608993
0.850802,4.40196,29971000,0.67607,-0.0677325,0.0469532
0.850859,3.42013,19760900,0.59803,-0.0853893,0.0308238
0.850905,1.92132,4984170,0.384026,-0.0523189,0.0198492
0.850905,4.36573,29870800,0.675169,-0.0679955,0.0464453
0.850909,5.14652,5010030,0.702666,-0.0331075,0.0612814
0.850938,4.14505,4985590,0.640092,-0.0538908,0.0437293
0.85094,-1.3523,19801800,-0.00595502,-0.0390154,0.0124607
0.850945,3.16735,4988460,0.559254,-0.0710969,0.0292447
0.850945,3.40834,4988740,0.585212,-0.071379,0.0322446
0.851001,2.6645,4985640,0.487742,-0.0619935,0.0242681
0.851003,4.139,29965500,0.661192,-0.0774646,0.0421662
0.851016,3.40263,4987410,0.585643,-0.0714757,0.0321999
0.851039,4.37286,4990320,0.654891,-0.0467123,0.0480527
0.85107,3.66158,19753100,0.62029,-0.082503,0.0342611
0.851091,6.12772,4988770,0.742724,-0.0243567,0.0766306
0.851113,3.90409,19737900,0.637538,-0.0764213,0.0384814
0.851134,3.68577,4990530,0.608226,-0.0662664,0.0363748
0.851186,4.11228,19798700,0.651118,-0.0684313,0.042098
0.851204,4.15805,29875600,0.661529,-0.0766792,0.0427491
0.851246,4.88289,19802000,0.692582,-0.0422053,0.0562792
0.851253,4.15936,29986900,0.661533,-0.0767119,0.0426371
0.851264,4.88467,19834200,0.693657,-0.0417941,0.0563735
0.851315,4.16646,19792200,0.652507,-0.0664116,0.0425368
